title,url,english_title,author,publisher,publication_date,selling_price,original_price,discount_rate,sales_index,review_count,rating,tags,description
제로클릭,https://www.yes24.com/product/goods/171566846,"클릭의 종말, AI 시대의 생존 전략",손승완,길벗,2026년 01월,16920,18800,10.0,9990,41,9.8,"#AI시대가온다, #마케팅이란, #마케팅전략, #마케터는보라","〈트렌드 코리아 2026〉이 선정한 올해의 키워드, 제로클릭!생성형 AI가 '검색의 패러다임’을 통째로 바꾸고 있는 시대내 브랜드와 콘텐츠가 AI에게 선택받으려면 어떻게 해야 할까?사람들은 여전히 검색하지만, 더..."
AI 에이전트 엔지니어링,https://www.yes24.com/product/goods/174018513,"단일 에이전트부터 멀티 에이전트 시스템까지, AI 앱 개발 올인원 가이드",마이클 알바다,한빛미디어,2026년 01월,28800,32000,10.0,7656,3,10.0,,"AI 에이전트 시스템 구축을 다룬 최고의 입문서!이 한 권이면 수백 편의 논문을 읽지 않아도 좋다생성형 AI 시대, 기업은 이제 단순 자동화를 넘어 도구·지식·메모리를 결합한 AI 에이전트로 더 복잡한 문제를 해결..."
이게 되네? AI 쇼츠 만들기 미친 자동화 22제,https://www.yes24.com/product/goods/169665962,"인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작, 유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영,골든래빗,2026년 01월,23400,26000,10.0,8991,4,10.0,,코딩 몰라도 OK! '딸깍' 한 번에 숏폼 콘텐츠 수집/제작/업로드 끝내는 미친 자동화 시스템 22제!AI가 쉴 틈 없이 돈 벌어준다! 1인 크리에이터를 위한 24시간 숏폼 수익 창출 가이드복붙 프롬프트 모음집 & 카카오...
AI 버블이 온다,https://www.yes24.com/product/goods/167465671,우리는 진짜 인공지능을 보고 있는가?,아르빈드 나라야난,윌북(willbook),2025년 12월,22320,24800,10.0,12012,46,9.9,"#마케터는보라, #AI시대가온다, #AI관련서",“AI 버블에 면역이 있는 기업은 없다” ─순디르 피차이(구글 CEO)“우리는 지금 인공지능 버블 속에 있다” ─샘 올트먼(오픈AI CEO)★ “이 책을 읽지 않았다면 AI 주식에는 한 푼도 투자하지 말라!”★《타임》 ...
누구나 아는 나만 모르는 챗GPT : 세상에서 가장 쉬운 챗GPT & AI 입문서,https://www.yes24.com/product/goods/154232193,"CHATGPT, 제미나이, 나노바나나, Suno, 노트북LM, Sora, 감마, 냅킨",이성원,한빛미디어,2025년 10월,17100,19000,10.0,13224,39,9.7,#분철,"이보다 쉬운 챗GPT & AI 책은 없다!왕초보를 위한, 세상에서 가장 쉬운 챗GPT & AI 입문서 누구나 아는, 그러나 나만 몰랐던 챗GPT와 AI, 이 책은 IT에 서툰 분도 단숨에 따라 할 수 있도록 진짜 쉽고 친절하게 설명..."
MK에디션 CES 2026,https://www.yes24.com/product/goods/174267330,피지컬 AI의 시대,매일경제 CES 특별취재팀,매일경제신문사,2026년 01월,18000,20000,10.0,7062,0,,,"“이제 AI 기술은 가능성을 말하지 않는다. 당장 쓸 수 있음을 증명한다.”매일경제 취재팀과 미라클레터가 함께 전하는 CES 2026 현장 리포트AI?로보틱스?모빌리티?디지털 헬스, 혁신미래기술의 인사이트를 밝히다..."
AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,https://www.yes24.com/product/goods/175525819,한 권으로 끝내는 AI 터미널 도구 3대장 바이브 코딩,Dave Lee,길벗,2026년 02월,28800,32000,10.0,3747,4,10.0,,"AI와 함께 일하는 법을 배우다클로드 코드·코덱스 CLI·제미나이 CLI를 실무에서 활용하는 방법AI 코딩 도구를 처음 접하는 사람에게 가장 어려운 점은 '무엇부터 시작해야 하는지', 그리고 '어디까지 활용할 수 있는..."
요즘 당근 AI 개발,https://www.yes24.com/product/goods/154566057,"AI가 만든 파도 위에서 과감히 서핑하는 법. AI 에이전트, 프롬프트 엔지니어링, VoC 자동 분석, 운영자동화, 바이브 코딩 AI 검색과 추천까지 당근의 AI 활용 이야기",당근 팀,골든래빗,2025년 10월,19800,22000,10.0,18201,86,9.9,#크레마클럽에있어요,"★ ‘당근’의 진짜 AI 활용과 개발 이야기★ 사용자 문제를 AI로 해결하는 당근 팀의 여정을 만나 보세요.‘AI로 과연 될까?’라는 질문은 ‘AI로 어떻게 하면 될까?’라는 고민으로 이어졌습니다. 엔지니어, 프로..."
대체불가 AI 영상 제작 완전정복,https://www.yes24.com/product/goods/165239801,챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태,책바세,2025년 12월,26100,29000,10.0,9339,12,9.8,,"〈한 권으로 끝내는 생성형 AI 영상 제작의 모든 것〉〈AI 하나로 광고·영화·애니메이션·교육 영상부터 유튜브·틱톡 숏츠까지 제작하는 시대!〉""실무형 예제 중심으로 배우는 ""진짜"" AI 영상 제작""챗GPT/소라/피카/..."
AI가 쉬워지는 최소한의 수학,https://www.yes24.com/product/goods/176526389,인공지능 문해력을 키우는 수학적 사고법의 힘,이동준,지상의책(갈매나무),2026년 02월,18000,20000,10.0,3252,3,10.0,"#이집수학잘하네, #수학의이해, #수학으로읽는세상","‘AI 시대가 온다는데, 어디서부터 시작해야 할지 모르겠어요.’‘인공지능이 어떤 방식으로 작동하는지 궁금해요.’‘딥러닝을 공부하기 전에 수학으로 기초를 다지고 싶어요.’ AI 대전환 시대,수학을 아는 자가 ..."
AI 프로젝트 100% 성공을 위한 체크리스트 17,https://www.yes24.com/product/goods/175133788,"비즈니스 성장을 위한 AI 프로덕트의 기획부터 설계, 성능 평가까지 단계별 전략",유진호,책만,2026년 01월,25200,28000,10.0,5706,5,10.0,,"성공률 100%의 AI 프로젝트를 위한, 현장에서 즉시 꺼내 쓰는 실전 로드맵! 화려한 AI 기술 스택 뒤에는 비즈니스 가치 입증 실패, 운영 비용의 늪, 경험의 부재라는 수많은 함정이 도사리고 있다. 이 책은 AI 프로..."
AI 엔지니어링,https://www.yes24.com/product/goods/154925812,"파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드",칩 후옌,한빛미디어,2025년 09월,36000,40000,10.0,13980,15,9.9,,"최고의 AI 전문가 칩 후옌이 엔비디아, 스노클 AI, 스탠퍼드에서 쌓은 현장 경험과 노하우!모델 활용을 넘어서, 실전으로 통하는 AI 서비스 설계 가이드“프로덕트 레벨에 맞는 설계란 무엇일까요?”파운데이션 모델..."
"누구나 쉽게 AI 작사 & 작곡 with 생성형 인공지능, 챗GPT, 수노, 유디오",https://www.yes24.com/product/goods/152644865,"음악 장르별 특징 파악부터 가사, 광고, 영화, 대중음악 생성을 위한 프롬프트 실습까지!",현병욱(오땡큐),시프트,2025년 09월,18000,20000,10.0,16074,29,9.7,"#AI음악, #AI작곡","AI로 시작하는 음악, 쉽고 재미있게 나만의 음악을 만들며, 음악의 매력에 빠져 보자!'AI에서 클릭 몇 번이면 음악이 뚝딱 완성되는데, 과연 책을 볼 필요가 있을까?' 직접 AI를 사용하여 음악을 만들어 보면 가졌던..."
혼자 공부하는 머신러닝+딥러닝,https://www.yes24.com/product/goods/143912145,케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서,박해선,한빛미디어,2025년 04월,28800,32000,10.0,20226,142,9.7,#분철,"머신러닝 분야 부동의 베스트셀러! 트랜스포머와 LLM 실습까지 더 많이 채웠다!케라스는 물론 파이토치까지, 혼자서도 1:1 과외하듯 배우는 인공지능 자습서 ** 혼공 용어 노트, 저자 직강 유튜브 강의, FAQ(자주 하..."
Do it! LLM을 활용한 AI 에이전트 개발 입문,https://www.yes24.com/product/goods/146036009,GPT API+딥시크+라마+랭체인+랭그래프+RAG,이성용,이지스퍼블리싱,2025년 05월,31500,35000,10.0,19311,21,9.7,"#크레마클럽에있어요, #분철, #파이썬, #챗GPT, #LLM","GPT API를 활용한 업무 자동화부터 랭체인과 랭그래프를 활용한 멀티에이전트 개발까지!한 권으로 끝내는 AI 에이전트 개발 입문! AI가 모두의 일상을 바꾸고 있는 지금, AI 기술을 제대로 이해하고 활용하는 방법을..."
요즘 바이브 코딩 커서 AI 30가지 프로그램 만들기,https://www.yes24.com/product/goods/153029475,"인공지능 코딩, 랜딩 페이지, 바탕화면 정리 앱, PDF 편집기, 이메일 자동화, 주식 크롤링, QR 코드 생성기, GPT 블로그 생성기",박현규,골든래빗,2025년 09월,21600,24000,10.0,16230,84,9.9,"#크레마클럽에있어요, #코딩, #코딩교육, #바이브코딩, #AI","★ 월 20달러로 커서 AI를 300% 활용해보자, 당신의 아이디어를 바로 애플리케이션으로 만들어보자!★ 랜딩 페이지부터 블로그 만들기까지, 코딩 1도 몰라도 바로 시작할 수 있다!★ 커서 AI와 대화하면서 프로그래..."
된다! 하루 만에 준비하는 AI 학교 수업 활용법,https://www.yes24.com/product/goods/142814138,"with 챗GPT, 캔바, 미리캔버스, 구글 기반 AI",정인걸,이지스퍼블리싱,2025년 03월,17820,19800,10.0,22638,39,10.0,#크레마클럽에있어요,"2022 개정 교육과정 반영! AI 디지털 교과서 시대의 해법!교육감, 한국과학창의재단 강사 추천!상위 1% 에듀테크 교사의 수업 비법을 공개합니다!AI 디지털 교과서 도입을 두고 찬반이 이어지는 가운데 교사와 아이..."
된다! 피그마 디자인 10분 레시피,https://www.yes24.com/product/goods/176919464,SNS 콘텐츠 + UX/UI + 웹 디자인 + AI 활용,하이서,이지스퍼블리싱,2026년 02월,25200,28000,10.0,2136,1,10.0,,"누적 조회수 500만 뷰!업계 1티어 ‘피그마 피디아’ 팀의 10분 해결 실무 레시피SNS 콘텐츠는 물론 UX/UI, 웹 디자인, AI 활용까지 한 번에 해결하세요!“피그마가 좋다고 듣긴 했는데, 시작하려 하니 막막해요.”..."
챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함,https://www.yes24.com/product/goods/162322988,97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정,리코멘드,2025년 11월,25200,28000,10.0,8808,4,10.0,,"★ AI 시대, 하나로는 부족합니다!★ 진짜 일 잘하는 AI를 찾아 퇴근이 빨라지는 핵심 노하우를 97개의 활용 사례에 담았습니다!2022년 11월! 무엇이든지 묻기만 하면 원하는 대답을 척척 해 내는 챗지피티를 처음 ..."
AI 팀원이 다 해줌,https://www.yes24.com/product/goods/167452561,챗GPT·퍼플렉시티·코파일럿·캔바·감마·브루 전원 투입!,이나현,한빛미디어,2025년 12월,20700,23000,10.0,6900,136,9.9,"#챗GPT가이드, #챗GPT업무활용, #일잘러업무스킬, #AI관련서, #AI수업","기획은 챗GPT, 전략은 퍼플렉시티, 운영은 코파일럿, 디자인은 캔바·감마·브루에게, 지금 당장 각 전문 분야의 에이스를 영입하세요!3일 걸릴 업무, AI 팀원과 함께라면 단 3시간 만에 끝납니다* 저자 즉답 오픈카톡..."
요즘 유치원 교사를 위한 에듀테크 활용법 : 캔바/패들렛/네이버/구글/태블릿 활용법,https://www.yes24.com/product/goods/165539763,학급운영 / 수업자료 / 디지털 놀이 자료 / 바닷속 한글놀이 / 액티브 아케이드 / 오토드로우 / 퀵드로우 / 북크레이터 / ZOOM / 애니메이티드 드로잉,전서아,앤써북,2025년 11월,15120,16800,10.0,6495,39,9.9,,"이 책은 국내 최초로 현직 유치원 교사 6인이 ‘요즘 유치원 교사’를 위해 교육 현장에 바로 활용할 수 있는 에듀테크별 100가지 수업 활용 실습과 사례를 담아 만든 실용적인 에듀테크 활용 가이드북이다. 캔바, ..."
AI 에이전트 생태계,https://www.yes24.com/product/goods/149414736,프레임워크와 프로토콜로 여는 새로운 패러다임,조쉬,로드북,2025년 08월,24300,27000,10.0,17949,15,9.7,#분철,"AI는 이제 LLM을 넘어, ‘에이전트의 시대’로 진입하고 있다. 『AI 에이전트 생태계』는 단순한 개발자용 튜토리얼이나 최신 트렌드 모음이 아니다. LangGraph, MCP, A2A 같은 기술 조각들을 나열하는 데 그치지 않..."
수노로 시작하는 AI 작곡,https://www.yes24.com/product/goods/168840773,"10분이면 완성하는 배경음악, 대중음악, 동요 제작 가이드",강성우,제이펍,2025년 12월,18000,20000,10.0,4548,18,8.6,,"아이디어만으로 완성하는 나만의 음악 이 책은 아이디어만으로 부담 없이 작사·작곡을 시작할 수 있도록 구성했다. 화성학을 몰라도, 악기를 다루지 못해도 괜찮다. 챗GPT로 음악의 스타일과 분위기, 가사까지 구체..."
인공지능이 다 해주는 브루 Vrew 영상 편집,https://www.yes24.com/product/goods/133823740,"유튜브, 숏폼 영상부터 버튜버, 인공지능 목소리 더빙까지 생성형 AI로 영상 콘텐츠 제작하기",지현이,시프트,2024년 10월,18000,20000,10.0,11250,19,9.7,,주제만 입력하면 대본 작성부터 영상 생성까지 한 방에 해결해 주는 브루 영상 편집!ChatGPT로 많은 사용자에게 알려진 생성형 인공지능은 이제 어느 분야든 적용되지 않는 곳이 없을 정도로 대중화되었다. 영상 편...
"우리, 프로그래머들 We, Programmers",https://www.yes24.com/product/goods/175232277,AI 시대에 잊혀 가는 ‘프로그래머 정신’을 다시 깨우다,로버트 C. 마틴,길벗,2026년 01월,27900,31000,10.0,2976,9,10.0,,"소프트웨어 개발 업계의 선도적 인물인로버트 C. 마틴이 이야기하는 ‘우리, 프로그래머들’의 이야기 생성형 AI가 코드를 만들어 내는 시대, 그럴수록 우리는 자연스럽게 다시 질문하게 된다. 우리는 누구이며, 왜 ..."
AI 리터러시 : 인공지능 필수 지식부터 완벽 활용까지,https://www.yes24.com/product/goods/139705941,여전히 챗GPT만 붙들고 있는 당신에게,김용성,프리렉,2024년 12월,22500,25000,10.0,26247,184,9.7,"#분철, #IT융합학과","AI 시대에 필수로 알아야 할 인공지능의 원리와 개념부터학생·직장인·공무원·교육자·연구자·자영업자, 누구에게나 당장 유용한 생성형 AI 서비스 59종까지!아직 AI의 잠재력을 다 누리고 있지 못한 당신을 넥스트 레..."
바로 배워서 바로 써먹는 바이브 코딩,https://www.yes24.com/product/goods/152079426,"캔바, 구글 앱스크립트, 파이어베이스, 러버블까지, 웹 앱 개발 도구를 활용한 AI 융합 교육 가이드",박찬,다빈치books,2025년 09월,19800,22000,10.0,18360,43,10.0,,누구나 아이디어만 있다면 누구나 멋진 웹 앱을 만들 수 있다!바이브 코딩(Vibe Coding)은 코딩을 전혀 모르는 사람도 생성형 AI에 프롬프트(명령어)를 입력하여 코드를 작성하고 서비스 샘플을 만들어주는 도구이다...
요즘 바이브 코딩 제미나이 CLI 완벽 가이드,https://www.yes24.com/product/goods/167384326,"인공지능 코딩, AI 네이티브 개발, LLM, 페르소나, 작업, 맥락, GEMINI.md, 컨텍스트 윈도우, 인증 방법, 요금제, 워크플로, 프로젝트 설계, 자동화, 프로젝트 컨텍스트, 대용량 입력 처리, 헤드리스 모드, Git Bash",김진환,골든래빗,2025년 12월,23400,26000,10.0,5313,79,9.9,#크레마클럽에있어요,★ 최강의 바이브 코딩 모델을 0원으로 시작하는 가장 완벽한 바이브 코딩 입문!★ 어디에도 없는 최강 팁과 노하우로정복하는 AI 업무 혁신 A to Z!★ 당장 회사에서 써먹는 실전 프로젝트로 확실하게 배우자!《제...
밑바닥부터 시작하는 딥러닝 1,https://www.yes24.com/product/goods/141787639,파이썬으로 익히는 딥러닝 이론과 구현,사이토 고키,한빛미디어,2025년 01월,23400,26000,10.0,12561,137,9.2,"#신경망, #파이썬, #머신러닝, #딥러닝",딥러닝 분야 부동의 베스트셀러!머리로 이해하고 손으로 익히는 가장 쉬운 딥러닝 입문서이 책은 딥러닝의 핵심 개념을 ‘밑바닥부터’ 구현해보며 기초를 한 걸음씩 탄탄하게 다질 수 있도록 도와주는 친절한 안내...
AI 내부자들,https://www.yes24.com/product/goods/153603522,글로벌 탑티어들의 AI 미래보고서,안건,스마트북스,2025년 09월,19800,22000,10.0,5532,6,9.3,,"AI 혁신은 어떻게 일어나는가?MIT · 스탠퍼드 · 하버드 · 조지아텍 · 시카고대 · UC버클리,구글 딥마인드 · 엔비디아 · 업스테이지 · 와들 · H2K까지글로벌 탑티어들의 AI 미래 보고서『AI 내부자들』은 MIT · 스탠..."
AI 에이전트 마스터 클래스,https://www.yes24.com/product/goods/175902524,"기획, 구현, 운영, 배포까지 현업에서 바로 적용하는 에이전트 개발 가이드",김구현,한빛미디어,2026년 01월,23400,26000,10.0,1695,3,10.0,,"랭체인의 기본기부터 최신 MCP 기술까지,‘살아 있는 AI’를 설계하는 가장 완벽한 로드맵단순한 챗봇을 넘어 스스로 판단하고 행동하는 ‘AI 에이전트’가 IT 업계의 새로운 표준으로 자리 잡고 있습니다. 이 책은 ..."
밑바닥부터 만들면서 배우는 LLM,https://www.yes24.com/product/goods/154099735,GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,세바스찬 라시카,길벗,2025년 09월,36000,40000,10.0,11184,22,9.6,#분철,"한 줄 한 줄 코드를 따라가다 보면, 나만의 GPT가 완성된다!GPT를 밑바닥부터 구현하며 LLM의 원리를 손끝으로 체득하는 실전 가이드어려운 개념은 그림으로 풀고, LLM은 직접 만들면서 배운다. 이 책은 대규모 언어..."
입상 교사만 아는 아무도 말해주지 않은 수업혁신사례연구대회 1등급의 비밀,https://www.yes24.com/product/goods/147065285,전국대회 1등급 우수 입상자 7인이 알려주는 보고서 작성의 A to Z,임은빈,앤써북,2025년 06월,21600,24000,10.0,6849,24,10.0,,수업혁신사례연구대회 전국대회 1등급 우수 입상자 7인이 알려주는 보고서 작성의 A to Z티처빌 쌤동네 1위 강사의 입상 전략 전격 공개 교사를 위한 수업혁신사례연구대회 실전형 보고서 작성 매뉴얼 총망라 입상 ...
"바이브 코딩 너머 개발자 생존법: 개발자는 사라지지 않는다, 진화한다",https://www.yes24.com/product/goods/163601068,,애디 오스마니,한빛미디어,2025년 11월,20700,23000,10.0,5286,25,9.7,,"AI가 코드를 다 짜준다? 이제 '진짜 개발자'만 살아남는다AI 시대 개발자의 생존법으로 당신의 가치를 증명하라『바이브 코딩 너머 개발자 생존법』은 AI가 코드를 대신 작성하는 시대, 개발자가 무엇으로 경쟁력을 ..."
베테랑 AI 전문가가 만든 가장 쉬운 나노바나나 활용! NanoBanana(나노바나나)로 무엇이든 만들 수 있다 (AI 영상 제작),https://www.yes24.com/product/goods/173235066,"믹스보드, 클링AI, 플로우, 소라2",이현,광문각출판미디어,2026년 01월,19000,19000,,3198,44,10.0,,"AI 시대의 새로운 창작자를 위하여 당신이 이 책을 펼친 순간, 이미 새로운 시대의 문을 열었습니다. 불과 몇 년 전만 해도 멋진 이미지를 만들려면 포토샵 자격증이 필요했고, 수개월간의 강좌를 수강해야 했으며, ..."
"어쨌든, 바이브 코딩",https://www.yes24.com/product/goods/168561327,코딩을 몰라도 50개 앱과 웹사이트를 AI와 LLM을 활용해서 개발한다,코다프레스,인사이트(insight),2025년 12월,19800,22000,10.0,3576,44,10.0,,프롬프트 한 줄이면 충분하다기술이 없는 게 아니라 방식이 바뀐 거다아이디어로 바로 만드는 창작 경험 50개생각났다면 바로 만들어라아이디어는 이제 '시작 신호'다.코드를 몰라도 한 줄의 프롬프트가 바로 결과물...
AI 잘 쓰는 디자이너,https://www.yes24.com/product/goods/168263935,"나노 바나나부터 미드저니, 피그마, 캡컷, 수노, 런웨이까지!",전하린,이지스퍼블리싱,2025년 12월,18900,21000,10.0,3177,10,10.0,,"“AI 시대, 디자이너는 어떻게 일해야 할까?”콘텐츠, UX/UI, 그래픽, 패키지, 로고, 영상 디자이너가 AI로 일하는 법나노 바나나부터 미드저니, 피그마, 캡컷, 수노, 런웨이까지!“요즘 다 AI로 디자인한다던데…”..."
입상 교사만 아는 아무도 말해주지 않은 인성교육 연구대회 1등급의 비밀,https://www.yes24.com/product/goods/174327620,"인성교육실천사례, 교총 현장교육연구대회 두 대회를 완벽 대비하는 입상 보고서 작성법",송경은,앤써북,2026년 01월,17820,19800,10.0,2919,6,10.0,,"인성교육실천사례 х 교총 현장교육연구대회 두 대회를 완벽 대비하는 입상 보고서 작성법!왜 어떤 보고서는 1등급이 되고, 어떤 보고서는 탈락하는가? 인성교육실천사례연구발표대회와 교총 현장교육연구대회. 매년..."
인공지능이 답할 때 교육은 무엇을 묻는가,https://www.yes24.com/product/goods/173183477,AI가 채우지 못한 교육의 영토,함영기,에듀니티교육연구소(에듀니티),2026년 01월,18000,20000,10.0,3975,6,10.0,,"인공지능이 답할 때 교육은 무엇을 묻는가?AI 시대를 항해하는 교육자를 위한 인문학적 나침반.“‘AI를 잘 활용해야 살아남을 수 있다’라는 말이 지상 최대의 명령처럼 여겨지는 오늘, 나는 다른 질문을 던지고 싶..."
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,https://www.yes24.com/product/goods/152379887,"실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 Claude Code 에이전트 실전 훈련!",조훈,길벗,2025년 09월,23400,26000,10.0,9036,19,8.9,#분철,"현장에서 바로 적용할 수 있는 클로드 코드 실전 가이드!실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 학습으로 클로드 코드 완전 정복!AI와 함께 개발하는 시대, 이제 클로드 코드는 더 이상 선택이 아닌 필..."
